Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Pet Sematary,Stephen King,"",9781529378306,paperback,to-read,2022/09/21,"","",0,"",,,,,,,,,"",,"",No
Starcrossed,Brenda Hiatt,"",,digital,read,2022/09/30,2023/12/18,2023/12/10-2023/12/18,2,"",,,,,,,,,"",,"",No
A Place for Us,Fatima Farheen Mirza,"",9781524763558,hardcover,to-read,2025/06/07,"","",0,"",,,,,,,,,"",,"",No
 Cassandra at the Wedding,Dorothy Baker,"",9781911547297,paperback,did-not-finish,2026/03/21,"","",0,"",,,,,,,,,"",,"",No
None of This Is True,Lisa Jewell,"Louise Brealey (Narrator), Emilia Fox (Narrator), Elliot Fitzpatrick (Narrator), Ayesha Antoine (Narrator), Thomas Judd (Narrator), Alix Dunmore (Narrator), Kate MacDonald (Narrator), Dominic Thorburn (Narrator), Jenny Walser (Narrator), Nicola Walker (Narrator), Kristin Atherton (Narrator)",B0BHFBQ76G,audio,read,2025/05/06,2025/05/08,2025/05/06-2025/05/08,1,"",,"","","","","",4.0,"","","","",No
I'm a Fan,Sheena Patel,Sheena Patel (Narrator),B0CG6T57WS,audio,read,2025/01/09,2025/01/12,2025/01/09-2025/01/12,1,"",,"","","","","",2.75,"","","","",No
The Guest List,Lucy Foley,"Jot Davies (Narrator), Sarah Ovens (Narrator), Rich Keeble (Narrator), Olivia Dowd (Narrator), Chloe Massey (Narrator), Aoife McMahon (Narrator)",9781094156446,audio,read,2024/12/24,2024/12/31,2024/12/23-2024/12/31,1,"dark, mysterious",medium,"","","","","",3.0,"","","","",No
Lincoln in the Bardo,George Saunders,"",9780812995343,hardcover,to-read,2026/01/22,"","",0,"",,,,,,,,,"",,"",No
The Idiot,Elif Batuman,"",9781594205613,hardcover,to-read,2024/01/07,"","",0,"",,,,,,,,,"",,"",No
Good Material,Dolly Alderton,"",9780241993170,digital,read,2026/01/30,"","",1,"",,,,,,,,,"",,"",No
Permafrost,Eva Baltasar,Julia Sanches (Translator),9781911508755,paperback,to-read,2026/01/27,"","",0,"",,,,,,,,,"",,"",No
Dark Matter,Blake Crouch,"",1101904232,digital,read,2026/01/24,2026/01/07,2025/12/06-2026/01/07,1,"",,"","","","","",4.75,"","","","",No
The Guest,Emma Cline,"",9781784743734,hardcover,read,2024/09/01,2024/09/16,2024/09/01-2024/09/16,1,"",,"","","","","",3.75,"","","","",No
The Wedding People,Alison Espach,Helen Laser (Narrator),1250349702,audio,read,2025/10/13,2025/10/22,2025/10/13-2025/10/22,1,"",,"","","","","",3.25,"","","","",No
This Story Might Save Your Life,Tiffany Crum,"",9781250395238,hardcover,to-read,2026/03/31,"","",0,"",,,,,,,,,"",,"",No
All About Love: New Visions,bell hooks,January LaVoy (Narrator),9780063342699,audio,did-not-finish,2024/10/11,"","",0,"",,,,,,,,<div>not for me</div>,"","","",No
A Tree Grows in Brooklyn,Betty Smith,"",9780061120077,paperback,to-read,2024/01/12,"","",0,"",,,,,,,,,"",,for-book-club,No
Strange Buildings,Uketsu,Jim Rion (Translator),B0FRNFY3H2,digital,read,2026/04/11,2026/04/11,2026/04/10-2026/04/11,1,"",,"","","","","",4.0,"<div>Just like the last Uketsu book I read, it didn't make sense all until the very end.</div>","","","",No
Rock Paper Scissors,Alice Feeney,"Richard Armitage (Narrator), Stephanie Racine (Narrator)",9781250818126,audio,read,2026/01/31,2026/02/03,2026/01/31-2026/02/03,1,"",,"","","","","",4.25,"","","","",No
Hobson-Jobson: The Definitive Glossary of British India,"A. C. Burnell, Henry Yule","",9780198718000,paperback,to-read,2026/02/16,"","",0,"",,,,,,,,,"",,want-to-buy,No
Perfume: The Story of a Murderer,Patrick Süskind,Seán Barrett (Narrator),"",audio,read,2026/01/09,2026/01/14,2026/01/09-2026/01/14,1,dark,,"","","","","",4.0,"<div>Very mesmerizing writing. The first time that I could kinda get the themes and what the author was getting it before I finished the book. This might have been because it was told by a narrator but great read. A very peculiar man, him being a murdered is not even the strangest thing about him.</div>","","","",No
Meditations,Marcus Aurelius,Martin Hammond (Translator),9780140449334,paperback,to-read,2023/05/20,"","",0,"",,,,,,,,,"",,want-to-buy,No
